Abbreviation,Full Form,Category
MSME,Micro Small and Medium Enterprises,Economic & General Finance
NII,Net Interest Income,Economic & General Finance
NIM,Net Interest Margin,Economic & General Finance
NNPA,Net Non-Performing Asset,Economic & General Finance
NPV,Net Present Value,Economic & General Finance
NRE,Non-Resident External (Account),Economic & General Finance
NRI,Non-Resident Indian,Economic & General Finance
NRO,Non-Resident Ordinary (Account),Economic & General Finance
OPEX,Operating Expenditure,Economic & General Finance
P/E,Price to Earnings (Ratio),Economic & General Finance
PCR,Provisioning Coverage Ratio,Economic & General Finance
PPP,Public Private Partnership,Economic & General Finance
ROA,Return on Assets,Economic & General Finance
ROE,Return on Equity,Economic & General Finance
ROI,Return on Investment,Economic & General Finance
SPV,Special Purpose Vehicle,Economic & General Finance
WACC,Weighted Average Cost of Capital,Economic & General Finance
WPI,Wholesale Price Index,Economic & General Finance
ADR,American Depository Receipt,Investment & Securities Market
AIF,Alternative Investment Fund,Investment & Securities Market
AMC,Asset Management Company,Investment & Securities Market
ASBA,Applications Supported by Blocked Amount,Investment & Securities Market
AUM,Assets Under Management,Investment & Securities Market
CAMS,Computer Age Management Services,Investment & Securities Market
CAN,Common Account Number,Investment & Securities Market
CDSL,Central Depository Services (India) Limited,Investment & Securities Market
CP,Commercial Paper,Investment & Securities Market
CRISIL,Credit Rating Information Services of India Limited,Investment & Securities Market
DII,Domestic Institutional Investor,Investment & Securities Market
DP,Depository Participant,Investment & Securities Market
Demat,Dematerialized Account,Investment & Securities Market
ETF,Exchange Traded Fund,Investment & Securities Market
FCCB,Foreign Currency Convertible Bond,Investment & Securities Market
FDI,Foreign Direct Investment,Investment & Securities Market
FII,Foreign Institutional Investor,Investment & Securities Market
FPI,Foreign Portfolio Investor,Investment & Securities Market
FPO,Follow-on Public Offering,Investment & Securities Market
G-Sec,Government Securities,Investment & Securities Market
GDR,Global Depository Receipt,Investment & Securities Market
IPO,Initial Public Offering,Investment & Securities Market
MF,Mutual Fund,Investment & Securities Market
MII,Market Infrastructure Institution,Investment & Securities Market
NAV,Net Asset Value,Investment & Securities Market
NCD,Non-Convertible Debenture,Investment & Securities Market
NSDL,National Securities Depository Limited,Investment & Securities Market
Nifty,National Stock Exchange Fifty (Index),Investment & Securities Market
OFS,Offer for Sale,Investment & Securities Market
PE,Private Equity,Investment & Securities Market
PMS,Portfolio Management Service,Investment & Securities Market
QIP,Qualified Institutional Placement,Investment & Securities Market
RTA,Registrar and Transfer Agent,Investment & Securities Market
SGB,Sovereign Gold Bond,Investment & Securities Market
SIP,Systematic Investment Plan,Investment & Securities Market
STT,Securities Transaction Tax,Investment & Securities Market
Sensex,Sensitive Index (BSE Index),Investment & Securities Market
T-Bill,Treasury Bill,Investment & Securities Market
UTI,Unit Trust of India,Investment & Securities Market
VC,Venture Capital,Investment & Securities Market
VaR,Value at Risk,Investment & Securities Market
AMFI,Association of Mutual Funds in India,Regulatory & Government Bodies
AML,Anti-Money Laundering,Regulatory & Government Bodies
BSE,Bombay Stock Exchange,Regulatory & Government Bodies
CBDT,Central Board of Direct Taxes,Regulatory & Government Bodies
CBIC,Central Board of Indirect Taxes and Customs,Regulatory & Government Bodies
CCI,Competition Commission of India,Regulatory & Government Bodies
CFT,Counter Financing of Terrorism,Regulatory & Government Bodies
CKYCR,Central KYC Records Registry,Regulatory & Government Bodies
ED,Enforcement Directorate,Regulatory & Government Bodies
FATF,Financial Action Task Force,Regulatory & Government Bodies
FCRA,Foreign Contribution Regulation Act,Regulatory & Government Bodies
FEMA,Foreign Exchange Management Act,Regulatory & Government Bodies
FIU-IND,Financial Intelligence Unit - India,Regulatory & Government Bodies
IBBI,Insolvency and Bankruptcy Board of India,Regulatory & Government Bodies
IBC,Insolvency and Bankruptcy Code,Regulatory & Government Bodies
IRDAI,Insurance Regulatory and Development Authority of India,Regulatory & Government Bodies
MCA,Ministry of Corporate Affairs,Regulatory & Government Bodies
NCLAT,National Company Law Appellate Tribunal,Regulatory & Government Bodies
NCLT,National Company Law Tribunal,Regulatory & Government Bodies
NSE,National Stock Exchange,Regulatory & Government Bodies
PEP,Politically Exposed Person,Regulatory & Government Bodies
PFRDA,Pension Fund Regulatory and Development Authority,Regulatory & Government Bodies
PMLA,Prevention of Money Laundering Act,Regulatory & Government Bodies
ROC,Registrar of Companies,Regulatory & Government Bodies
SEBI,Securities and Exchange Board of India,Regulatory & Government Bodies
UAPA,Unlawful Activities (Prevention) Act,Regulatory & Government Bodies
AIS,Annual Information Statement,Tax & Accounting
AMT,Alternate Minimum Tax,Tax & Accounting
AO,Assessing Officer (Income Tax),Tax & Accounting
AY,Assessment Year,Tax & Accounting
CGST,Central Goods and Services Tax,Tax & Accounting
CPC,Centralized Processing Centre,Tax & Accounting
DTAA,Double Taxation Avoidance Agreement,Tax & Accounting
EVC,Electronic Verification Code,Tax & Accounting
FY,Financial Year,Tax & Accounting
Form 26AS,Annual Tax Statement,Tax & Accounting
GAAP,Generally Accepted Accounting Principles,Tax & Accounting
GAAR,General Anti-Avoidance Rule,Tax & Accounting
GST,Goods and Services Tax,Tax & Accounting
GSTIN,Goods and Services Tax Identification Number,Tax & Accounting
GSTR,Goods and Services Tax Return,Tax & Accounting
HSN,Harmonized System of Nomenclature,Tax & Accounting
ICAI,Institute of Chartered Accountants of India,Tax & Accounting
ICMAI,Institute of Cost Accountants of India,Tax & Accounting
ICSI,Institute of Company Secretaries of India,Tax & Accounting
IGST,Integrated Goods and Services Tax,Tax & Accounting
ITC,Input Tax Credit,Tax & Accounting
ITR,Income Tax Return,Tax & Accounting
Ind AS,Indian Accounting Standards,Tax & Accounting
LRS,Liberalised Remittance Scheme,Tax & Accounting
MAT,Minimum Alternate Tax,Tax & Accounting
PAN,Permanent Account Number,Tax & Accounting
PAT,Profit After Tax,Tax & Accounting
PPF,Public Provident Fund,Tax & Accounting
SAC,Services Accounting Code,Tax & Accounting
SGST,State Goods and Services Tax,Tax & Accounting
TAN,Tax Deduction and Collection Account Number,Tax & Accounting
TCS,Tax Collected at Source,Tax & Accounting
TDS,Tax Deducted at Source,Tax & Accounting
UTGST,Union Territory Goods and Services Tax,Tax & Accounting
XBRL,eXtensible Business Reporting Language,Tax & Accounting
e-Way Bill,Electronic Way Bill,Tax & Accounting
